barcode,brand,category,size
0667557640976,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0667557912035,Bath&Body Works,Гель для душа,295 мл
0667557912738,Bath&Body Works,Спрей для тела,236 мл
0667558203873,Victoria's Secret,Спрей для тела,250 мл
0667558216767,Bath&Body Works,Спрей для тела,236 мл
0667558381922,Victoria's Secret,Парфюмерные наборы,7.5 мл
0667558387917,Victoria's Secret,Подарочные наборы косметики,75 мл
0667558717288,,"Крем, молочко и лосьон для тела",250 мл
0667558717363,Victoria's Secret,"Крем, молочко и лосьон для тела",250 мл
0667559094289,Victoria's Secret,"Крем, молочко и лосьон для тела",200 мл
0667559676508,Victoria's Secret,"Парфюмерия, парфюмерные наборы",50 мл
0667559966081,Victoria's Secret,Спрей для тела,75 мл
0667560179302,Victoria's Secret,"Парфюмерия, парфюмерные наборы",50 мл
0667560239327,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0667560239358,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0667560607843,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0679541018166,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541075657,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541079174,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541081665,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541101745,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541102599,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541104432,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541116695,No Brand,"Парфюмерия, парфюмерные наборы",80 мл
0679541119894,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541130066,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541152846,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541209229,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541221832,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541241687,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541243414,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541244480,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541247238,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541273008,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541275026,Symphony Signature,"Парфюмерия, парфюмерные наборы",80 мл
0679541286596,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541310239,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541317337,No Brand,"Парфюмерия, парфюмерные наборы",100 мл
0679541319867,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541334372,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541335232,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541342667,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541354196,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541354370,Symphony Signature,"Парфюмерия, парфюмерные наборы",80 мл
0679541375610,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
0679541377324,No Brand,"Парфюмерия, парфюмерные наборы",75 мл
0679541395502,Symphony Signature,"Парфюмерия, парфюмерные наборы",100 мл
