# Makiyaj Cosmetics (Azi Aslanov) - Part 25
Location: Azi Aslanov metro, Baku
Format: '- <product> | <price in AZN> | Заказать: <WhatsApp order link>'.
Total in part: 200
- Flormar ALL DAY FI Spray, 125 мл — база под макияж | 9,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520ALL%2520DAY%2520FI%2520SPRAY&t=FLORMAR%20ALL%20DAY%20FI%20SPRAY
- Flormar ALL DAY FIX Spray Matte, 125 мл — база под макияж | 10 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520ALL%2520DAY%2520FIX%2520SPRAY%2520MATTE&t=FLORMAR%20ALL%20DAY%20FIX%20SPRAY%20MATTE
- Flormar Baked Powder 020, 9 г — компактная пудра | 16,1 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BAKED%2520POWDER%2520020&t=FLORMAR%20BAKED%20POWDER%20020
- Flormar Baked Powder 021, 9 г — компактная пудра | 15,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BAKED%2520POWDER%2520021&t=FLORMAR%20BAKED%20POWDER%20021
- Flormar Baked Powder 030, 9 г — компактная пудра | 16,1 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BAKED%2520POWDER%2520030&t=FLORMAR%20BAKED%20POWDER%20030
- Flormar Baked Powder 032, 9 г — компактная пудра | 15,4 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BAKED%2520POWDER%2520032&t=FLORMAR%20BAKED%20POWDER%20032
- Flormar Blush-on 097, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520097&t=FLORMAR%20BLUSH-ON%20097
- Flormar Blush-on 100, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520100&t=FLORMAR%20BLUSH-ON%20100
- Flormar Blush-on 102, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520102&t=FLORMAR%20BLUSH-ON%20102
- Flormar Blush-on 104, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520104&t=FLORMAR%20BLUSH-ON%20104
- Flormar Blush-on 107, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520107&t=FLORMAR%20BLUSH-ON%20107
- Flormar Blush-on 108, 5.5 г — румяна | 10,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994514553797%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520FLORMAR%2520BLUSH-ON%2520108&t=FLORMAR%20BLUSH-ON%20108
